user,time,action,status
undefined,Fri Dec 20 2019 16:42:04 GMT+0800 (GMT+08:00),accessAPI:getLogHandle,error
undefined,Fri Dec 20 2019 16:42:44 GMT+0800 (GMT+08:00),accessAPI:getLogHandle,error
undefined,Fri Dec 20 2019 16:42:44 GMT+0800 (GMT+08:00),accessAPI:getLogHandle,error
undefined,Fri Dec 20 2019 16:42:50 GMT+0800 (GMT+08:00),accessAPI:getLogHandle,error
undefined,Fri Dec 20 2019 16:43:15 GMT+0800 (GMT+08:00),accessAPI:getLogHandle,error
undefined,Fri Dec 20 2019 16:43:17 GMT+0800 (GMT+08:00),accessAPI:getLogHandle,error
user,Fri Dec 20 2019 16:43:23 GMT+0800 (GMT+08:00),createaToken,success
user,Fri Dec 20 2019 16:43:23 GMT+0800 (GMT+08:00),accessAPI:login,success
user,Fri Dec 20 2019 16:43:24 GMT+0800 (GMT+08:00),checkToken,success
user,Fri Dec 20 2019 16:43:24 GMT+0800 (GMT+08:00),accessAPI:getLogHandle,success
undefined,Fri Dec 20 2019 16:43:52 GMT+0800 (GMT+08:00),accessAPI:getLogHandle,error
user,Fri Dec 20 2019 16:44:01 GMT+0800 (GMT+08:00),createaToken,success
user,Fri Dec 20 2019 16:44:01 GMT+0800 (GMT+08:00),accessAPI:login,success
user,Fri Dec 20 2019 16:44:03 GMT+0800 (GMT+08:00),checkToken,success
user,Fri Dec 20 2019 16:44:03 GMT+0800 (GMT+08:00),accessAPI:getLogHandle,success
undefined,Fri Dec 20 2019 16:44:31 GMT+0800 (GMT+08:00),accessAPI:getLogHandle,error
user,Fri Dec 20 2019 16:44:35 GMT+0800 (GMT+08:00),createaToken,success
user,Fri Dec 20 2019 16:44:35 GMT+0800 (GMT+08:00),accessAPI:login,success
undefined,Fri Dec 20 2019 16:44:49 GMT+0800 (GMT+08:00),accessAPI:getLogHandle,error
undefined,Fri Dec 20 2019 16:46:22 GMT+0800 (GMT+08:00),accessAPI:getLogHandle,error
user,Fri Dec 20 2019 16:46:29 GMT+0800 (GMT+08:00),createaToken,success
user,Fri Dec 20 2019 16:46:29 GMT+0800 (GMT+08:00),accessAPI:login,success
user,Fri Dec 20 2019 16:46:33 GMT+0800 (GMT+08:00),checkToken,success
user,Fri Dec 20 2019 16:46:33 GMT+0800 (GMT+08:00),accessAPI:getLogHandle,success
undefined,Fri Dec 20 2019 16:47:30 GMT+0800 (GMT+08:00),accessAPI:getLogHandle,error
user,Fri Dec 20 2019 16:47:32 GMT+0800 (GMT+08:00),createaToken,success
user,Fri Dec 20 2019 16:47:32 GMT+0800 (GMT+08:00),accessAPI:login,success
user,Fri Dec 20 2019 16:47:33 GMT+0800 (GMT+08:00),checkToken,success
user,Fri Dec 20 2019 16:47:33 GMT+0800 (GMT+08:00),accessAPI:getLogHandle,success
undefined,Fri Dec 20 2019 16:49:24 GMT+0800 (GMT+08:00),accessAPI:getLogHandle,error
user,Fri Dec 20 2019 16:49:32 GMT+0800 (GMT+08:00),createaToken,success
user,Fri Dec 20 2019 16:49:32 GMT+0800 (GMT+08:00),accessAPI:login,success
user,Fri Dec 20 2019 16:49:36 GMT+0800 (GMT+08:00),checkToken,success
user,Fri Dec 20 2019 16:49:36 GMT+0800 (GMT+08:00),accessAPI:getLogHandle,success
user,Fri Dec 20 2019 16:49:40 GMT+0800 (GMT+08:00),checkToken,success
user,Fri Dec 20 2019 16:49:40 GMT+0800 (GMT+08:00),accessAPI:getLogHandle,success
undefined,Fri Dec 20 2019 16:50:07 GMT+0800 (GMT+08:00),accessAPI:getLogHandle,error
user,Fri Dec 20 2019 16:50:11 GMT+0800 (GMT+08:00),createaToken,success
user,Fri Dec 20 2019 16:50:11 GMT+0800 (GMT+08:00),accessAPI:login,success
user,Fri Dec 20 2019 16:50:12 GMT+0800 (GMT+08:00),checkToken,success
user,Fri Dec 20 2019 16:50:12 GMT+0800 (GMT+08:00),accessAPI:getLogHandle,success
user,Fri Dec 20 2019 16:50:16 GMT+0800 (GMT+08:00),checkToken,success
user,Fri Dec 20 2019 16:50:16 GMT+0800 (GMT+08:00),accessAPI:getLogHandle,success
user,Fri Dec 20 2019 16:50:19 GMT+0800 (GMT+08:00),checkToken,success
user,Fri Dec 20 2019 16:50:19 GMT+0800 (GMT+08:00),accessAPI:getLogHandle,success
user,Fri Dec 20 2019 16:50:20 GMT+0800 (GMT+08:00),checkToken,success
user,Fri Dec 20 2019 16:50:20 GMT+0800 (GMT+08:00),accessAPI:getLogHandle,success
undefined,Fri Dec 20 2019 16:50:22 GMT+0800 (GMT+08:00),accessAPI:getLogHandle,error
user,Fri Dec 20 2019 16:50:24 GMT+0800 (GMT+08:00),createaToken,success
user,Fri Dec 20 2019 16:50:24 GMT+0800 (GMT+08:00),accessAPI:login,success
user,Fri Dec 20 2019 16:50:25 GMT+0800 (GMT+08:00),checkToken,success
user,Fri Dec 20 2019 16:50:25 GMT+0800 (GMT+08:00),accessAPI:getLogHandle,success
